id,name,category,market_score,status,created_date,target_demographics,region,ingredients,flavor_profile
1,Premium Matcha Latte,Beverages,97.0,Active,2024-01-15,26-35,Asia Pacific,"Matcha,Green Tea,Vanilla","Herbal,Sweet"
2,Organic Turmeric Latte,Beverages,94.0,Active,2024-02-10,18-25,North America,"Turmeric,Ginger,Coconut Milk","Spicy,Earthy"
3,Super Acai Smoothie,Beverages,93.0,Active,2024-01-28,18-25,Latin America,"Acai,Berries,Banana","Fruity,Sweet"
4,Golden Spirulina Bar,Snacks,88.0,Active,2024-03-05,26-35,Europe,"Spirulina,Dates,Almonds","Earthy,Nutty"
5,Fresh Quinoa Bites,Snacks,87.0,Active,2024-02-20,26-35,North America,"Quinoa,Almonds,Dates","Nutty,Mild"
6,Pure Green Tea Yogurt,Dairy,91.0,Active,2024-01-12,18-25,Asia Pacific,"Green Tea,Yogurt,Honey","Herbal,Fresh"
7,Natural Coconut Ice Cream,Dairy,89.0,Active,2024-02-18,18-25,Asia Pacific,"Coconut,Vanilla,Honey","Sweet,Tropical"
8,Power Ginger Tea,Beverages,85.0,Active,2024-03-01,35-45,Asia Pacific,"Ginger,Green Tea,Vanilla","Spicy,Warm"
9,Organic Oat Milk,Dairy,86.0,Active,2024-01-25,26-35,North America,"Oat Milk,Vanilla,Honey","Sweet,Mild"
10,Artisan Dark Chocolate,Confectionery,84.0,Active,2024-02-05,25-35,Europe,"Dark Chocolate,Vanilla,Honey","Bitter,Rich"
11,Premium Chickpeas Chips,Snacks,82.0,Active,2024-03-10,26-35,Europe,"Chickpeas,Sea Salt,Herbs","Savory,Nutty"
12,Golden Hibiscus Tea,Beverages,79.0,Active,2024-01-30,35-45,Africa,"Hibiscus,Ginger,Lemon","Floral,Spicy"
13,Fresh Vanilla Cookies,Confectionery,78.0,Active,2024-02-25,18-25,North America,"Vanilla,Honey,Sea Salt","Sweet,Mild"
14,Pure Honey Granola,Cereals,77.0,Active,2024-03-15,26-35,Europe,"Honey,Oats,Almonds","Sweet,Mild"
15,Natural Sea Salt Crackers,Snacks,76.0,Active,2024-01-20,36-45,North America,"Sea Salt,Oats,Vanilla","Sweet,Mild"
16,Organic Almonds Bowl,Cereals,75.0,Active,2024-02-28,26-35,North America,"Almonds,Honey,Sea Salt","Sweet,Mild"
17,Premium Coconut Water,Beverages,83.0,Active,2024-03-08,18-25,Asia Pacific,"Coconut Water,Vanilla,Honey","Sweet,Tropical"
18,Super Maple Syrup Oats,Cereals,74.0,Active,2024-01-18,26-35,North America,"Maple Syrup,Oats,Vanilla","Sweet,Mild"
